"FLEET TRACKER, INC.","2096615222, Ext 103",dana@Ëšeettrackergps.com,5615 Heddon Court,Mariposa,CA,95338,"Professional organization and services, Computer software/programs",https://www.fleettrackergps.com/wp-content/uploads/2020/05/fleettrackerlogo-1024x247.png,,,
FLORAPULSE,6072329244,michael@Ëšorapulse.com,170 Louise Lane,Davis,CA,95618,Irrigation,"https://static.wixstatic.com/media/500c3a_cdcea52ee23e462c8642c49ee1de676d~mv2.png/v1/fill/w_80,h_80,al_c,q_85,usm_0.66_1.00_0.01/FloraPulse_RGB-05.webp",,,
FLORY INDUSTRIES,2095451167,casey@goËšory.com,4737 Toomes Road,Salida,CA,95368,"Custom Harvesters, Orchard Equipment and Services, Processing Equipment",https://www.goflory.com/images/logos/logo.png,,,
"FOWLER NURSERIES, INC.",9166458191,info@fowlernurseries.com,525 Fowler Road,Newcastle,CA,95658,Nurseries,https://fowlernurseries.com/wp-content/uploads/2020/11/FowlerLogo.jpg,,,
GREENLEAF AG,5592101354,jmckee@greenleafag.com,770 West Elm Avenue,Coalinga,CA,93210,"Irrigation, Irrigation - Designer/Installer",https://www.greenleafag.com/wp-content/themes/digital_attic/images/logo.png,,,
"GRIMBLEBY COLEMAN CPAS, INC.",2095274220,jbowman@gccpas.net,200 W Roseburg Avenue,Modesto,CA,95350,Financial Assistance,https://media.glassdoor.com/sqll/1586858/grimbleby-coleman-cpas-squarelogo-1586468699732.png,,,
GUSS AUTOMATION,5594101243,gt@gussag.com,2545 Simpson Street,Kingsburg,CA,93631,Orchard Equipment and Services,https://gussag.com/wp-content/uploads/2020/02/GUSS-Logo_white.png,,,
"HELIAE DEVELOPMENT, LLC",6613408495,jcollison@heliae.com,578 E Germann Road,578 E Germann Road,AZ,85297,Sustainability,https://heliae.com/wp-content/uploads/2018/09/heliaelogo-mobile-drk.png,,,
HIVEMIND PRECISION APICULTURE,+64 2387955',bryan@hivemind.nz,106 Manchester Street,Christchurch Central City,CHC,8011,"Beekeepers, Computer software/programs",https://hivemind.nz/static/images/logo-white-plus-orange.png?v=37b2dc5bcac545ee26f741b5753ad796,,,
HOLT AG SOLUTIONS,9162361126,info@holtags.com,95 W Kentucky,Woodland,CA,95695,Orchard Equipment and Services,https://www.holtags.com/templates/holtags/images/logo.png,,,
HORTAU Ëœ SIMPLIFIED IRRIGATION,"8055455994, Ext 329",jotto@hortau.com,624 Clarion Court,San Luis Obispo,CA,93401,Irrigation,https://hortau.com/wp-content/uploads/2017/07/Hortau-Soil-Moisture-Monitoring-Irrigation-Automation-2.png,,,
IEH LABORATORIES AND CONSULTING GROUP,2095388111,merle.jacobs@iehinc.com,217 Primo Way,Modesto,CA,95358,Testing laboratories,https://www.iehinc.com/wp-content/uploads/2021/07/cropped-ieh-horizontal-logo.jpg,,,
INSERO,6205211905,stevehoffman@inserosolutions.com,2150 Serena Avenue,Clovis,CA,93619,Financial Assistance,https://inserocpa.com/wp-content/uploads/InseroCo-Logo-RGB-Centered-s.png,,,
INSIGHT TRAC MUMMY REMOVER,5745273677,anna@planbeetech.com,3779 East 1000 North,Syracuse,IN,46567,Orchard Equipment and Services,https://techpoint.org/wp-content/uploads/2021/02/insighttrac-logo.png,,,
"INSORT USA, INC.",6472967399,lukas.lackner@insort.at,2484 Acme Court,Turlock,CA,95380,Processing Equipment,https://www.insort.at/sites/default/files/10-years_insort-logo_neg.png,,,
INTERNATIONAL WOOD INDUSTRIES,5305678833,kelsey.dean@ufpi.com,P.O. Box 398,Thornton,CA,95686,Crop production inputs,,,,
JACKRABBIT,2093739932,danny@jackrabbit.bz,471 Industrial Avenue,Ripon,CA,95366,"Orchard Equipment and Services, Processing Equipment, Custom Harvesters",https://jackrabbitequipment.com/wp-content/uploads/2015/05/jack-rabbit-logo-02.png,,,
JAIN IRRIGATION,2084198453,kstewart@jainsusa.com,2851 E Florence Avenue,Fresno,CA,93721,Irrigation,https://mk0jainsusacom0cy7l0.kinstacdn.com/wp-content/uploads/2018/09/Jain-1x.png.webp,,,
"JAX, INC.",9162815053,tvance@jax.com,819 F Street,Sacramento,CA,95606,Chemicals,https://jax.com/wp-content/uploads/2019/06/cropped-JAX-Logo-Header-1.png,,,
JBT,4192025497,tricia.harlan@jbtc.com,1622 First Street,Sandusky,OH,44870,"Processing Equipment, Packaging",https://www.jbtc.com/-/media/images/logo.ashx?h=88&w=113&la=en&hash=A648849FA864FC3B96A93066B59B17E7762A3340,,,
"JENJIL PACKAGING, INC.",2096569160,nick@jenjilpackaging.com,400 3rd Street,Turlock,CA,95380,Packaging,https://www.jenjilpackaging.com/img/jenjil-logo-black.svg,,,
